Capítulo,Versículo,Texto
19.0,59.0,فخلف من بعدهم خلف اضاعوا الصلاه واتبعوا الشهوات ۖ فسوف يلقون غيا
19.0,60.0,الا من تاب وامن وعمل صالحا فاولئك يدخلون الجنه ولا يظلمون شيئا
19.0,61.0,جنات عدن التي وعد الرحمن عباده بالغيب ۚ انه كان وعده ماتيا
19.0,62.0,لا يسمعون فيها لغوا الا سلاما ۖ ولهم رزقهم فيها بكره وعشيا
19.0,63.0,تلك الجنه التي نورث من عبادنا من كان تقيا
19.0,64.0,وما نتنزل الا بامر ربك ۖ له ما بين ايدينا وما خلفنا وما بين ذلك ۚ وما كان ربك نسيا
19.0,65.0,رب السماوات والارض وما بينهما فاعبده واصطبر لعبادته ۚ هل تعلم له سميا
19.0,66.0,ويقول الانسان ااذا ما مت لسوف اخرج حيا
19.0,67.0,اولا يذكر الانسان انا خلقناه من قبل ولم يك شيئا
19.0,68.0,فوربك لنحشرنهم والشياطين ثم لنحضرنهم حول جهنم جثيا
19.0,69.0,ثم لننزعن من كل شيعه ايهم اشد علي الرحمن عتيا
19.0,70.0,ثم لنحن اعلم بالذين هم اولي بها صليا
19.0,71.0,وان منكم الا واردها ۚ كان علي ربك حتما مقضيا
19.0,72.0,ثم ننجي الذين اتقوا ونذر الظالمين فيها جثيا
19.0,73.0,واذا تتلي عليهم اياتنا بينات قال الذين كفروا للذين امنوا اي الفريقين خير مقاما واحسن نديا
19.0,74.0,وكم اهلكنا قبلهم من قرن هم احسن اثاثا ورئيا
19.0,75.0,قل من كان في الضلاله فليمدد له الرحمن مدا ۚ حتي اذا راوا ما يوعدون اما العذاب واما الساعه فسيعلمون من هو شر مكانا واضعف جندا
19.0,76.0,ويزيد الله الذين اهتدوا هدي ۗ والباقيات الصالحات خير عند ربك ثوابا وخير مردا
19.0,77.0,افرايت الذي كفر باياتنا وقال لاوتين مالا وولدا
19.0,78.0,اطلع الغيب ام اتخذ عند الرحمن عهدا
19.0,79.0,كلا ۚ سنكتب ما يقول ونمد له من العذاب مدا
19.0,80.0,ونرثه ما يقول وياتينا فردا
19.0,81.0,واتخذوا من دون الله الهه ليكونوا لهم عزا
19.0,82.0,كلا ۚ سيكفرون بعبادتهم ويكونون عليهم ضدا
19.0,83.0,الم تر انا ارسلنا الشياطين علي الكافرين تؤزهم ازا
19.0,84.0,فلا تعجل عليهم ۖ انما نعد لهم عدا
19.0,85.0,يوم نحشر المتقين الي الرحمن وفدا
19.0,86.0,ونسوق المجرمين الي جهنم وردا
19.0,87.0,لا يملكون الشفاعه الا من اتخذ عند الرحمن عهدا
19.0,88.0,وقالوا اتخذ الرحمن ولدا
19.0,89.0,لقد جئتم شيئا ادا
19.0,90.0,تكاد السماوات يتفطرن منه وتنشق الارض وتخر الجبال هدا
19.0,91.0,ان دعوا للرحمن ولدا
19.0,92.0,وما ينبغي للرحمن ان يتخذ ولدا
19.0,93.0,ان كل من في السماوات والارض الا اتي الرحمن عبدا
19.0,94.0,لقد احصاهم وعدهم عدا
19.0,95.0,وكلهم اتيه يوم القيامه فردا
19.0,96.0,ان الذين امنوا وعملوا الصالحات سيجعل لهم الرحمن ودا
19.0,97.0,فانما يسرناه بلسانك لتبشر به المتقين وتنذر به قوما لدا
19.0,98.0,وكم اهلكنا قبلهم من قرن هل تحس منهم من احد او تسمع لهم ركزا
20.0,1.0,بسم الله الرحمن الرحيم طه
20.0,2.0,ما انزلنا عليك القران لتشقي
20.0,3.0,الا تذكره لمن يخشي
20.0,4.0,تنزيلا ممن خلق الارض والسماوات العلي
20.0,5.0,الرحمن علي العرش استوي
20.0,6.0,له ما في السماوات وما في الارض وما بينهما وما تحت الثري
20.0,7.0,وان تجهر بالقول فانه يعلم السر واخفي
20.0,8.0,الله لا اله الا هو ۖ له الاسماء الحسني
20.0,9.0,وهل اتاك حديث موسي
20.0,10.0,اذ راي نارا فقال لاهله امكثوا اني انست نارا لعلي اتيكم منها بقبس او اجد علي النار هدي
20.0,11.0,فلما اتاها نودي يا موسي
20.0,12.0,اني انا ربك فاخلع نعليك ۖ انك بالواد المقدس طوي
20.0,13.0,وانا اخترتك فاستمع لما يوحي
20.0,14.0,انني انا الله لا اله الا انا فاعبدني واقم الصلاه لذكري
20.0,15.0,ان الساعه اتيه اكاد اخفيها لتجزي كل نفس بما تسعي
20.0,16.0,فلا يصدنك عنها من لا يؤمن بها واتبع هواه فتردي
20.0,17.0,وما تلك بيمينك يا موسي
20.0,18.0,قال هي عصاي اتوكا عليها واهش بها علي غنمي ولي فيها مارب اخري
20.0,19.0,قال القها يا موسي
20.0,20.0,فالقاها فاذا هي حيه تسعي
20.0,21.0,قال خذها ولا تخف ۖ سنعيدها سيرتها الاولي
20.0,22.0,واضمم يدك الي جناحك تخرج بيضاء من غير سوء ايه اخري
20.0,23.0,لنريك من اياتنا الكبري
20.0,24.0,اذهب الي فرعون انه طغي
20.0,25.0,قال رب اشرح لي صدري
20.0,26.0,ويسر لي امري
20.0,27.0,واحلل عقده من لساني
20.0,28.0,يفقهوا قولي
20.0,29.0,واجعل لي وزيرا من اهلي
20.0,30.0,هارون اخي
20.0,31.0,اشدد به ازري
20.0,32.0,واشركه في امري
20.0,33.0,كي نسبحك كثيرا
20.0,34.0,ونذكرك كثيرا
20.0,35.0,انك كنت بنا بصيرا
20.0,36.0,قال قد اوتيت سؤلك يا موسي
20.0,37.0,ولقد مننا عليك مره اخري
20.0,38.0,اذ اوحينا الي امك ما يوحي
20.0,39.0,ان اقذفيه في التابوت فاقذفيه في اليم فليلقه اليم بالساحل ياخذه عدو لي وعدو له ۚ والقيت عليك محبه مني ولتصنع علي عيني
20.0,40.0,اذ تمشي اختك فتقول هل ادلكم علي من يكفله ۖ فرجعناك الي امك كي تقر عينها ولا تحزن ۚ وقتلت نفسا فنجيناك من الغم وفتناك فتونا ۚ فلبثت سنين في اهل مدين ثم جئت علي قدر يا موسي
20.0,41.0,واصطنعتك لنفسي
20.0,42.0,اذهب انت واخوك باياتي ولا تنيا في ذكري
20.0,43.0,اذهبا الي فرعون انه طغي
20.0,44.0,فقولا له قولا لينا لعله يتذكر او يخشي
20.0,45.0,قالا ربنا اننا نخاف ان يفرط علينا او ان يطغي
20.0,46.0,قال لا تخافا ۖ انني معكما اسمع واري
20.0,47.0,فاتياه فقولا انا رسولا ربك فارسل معنا بني اسرائيل ولا تعذبهم ۖ قد جئناك بايه من ربك ۖ والسلام علي من اتبع الهدي
20.0,48.0,انا قد اوحي الينا ان العذاب علي من كذب وتولي
20.0,49.0,قال فمن ربكما يا موسي
20.0,50.0,قال ربنا الذي اعطي كل شيء خلقه ثم هدي
20.0,51.0,قال فما بال القرون الاولي
20.0,52.0,قال علمها عند ربي في كتاب ۖ لا يضل ربي ولا ينسي
20.0,53.0,الذي جعل لكم الارض مهدا وسلك لكم فيها سبلا وانزل من السماء ماء فاخرجنا به ازواجا من نبات شتي
20.0,54.0,كلوا وارعوا انعامكم ۗ ان في ذلك لايات لاولي النهي
20.0,55.0,منها خلقناكم وفيها نعيدكم ومنها نخرجكم تاره اخري
20.0,56.0,ولقد اريناه اياتنا كلها فكذب وابي
20.0,57.0,قال اجئتنا لتخرجنا من ارضنا بسحرك يا موسي
20.0,58.0,فلناتينك بسحر مثله فاجعل بيننا وبينك موعدا لا نخلفه نحن ولا انت مكانا سوي
20.0,59.0,قال موعدكم يوم الزينه وان يحشر الناس ضحي
20.0,60.0,فتولي فرعون فجمع كيده ثم اتي
20.0,61.0,قال لهم موسي ويلكم لا تفتروا علي الله كذبا فيسحتكم بعذاب ۖ وقد خاب من افتري
20.0,62.0,فتنازعوا امرهم بينهم واسروا النجوي
20.0,63.0,قالوا ان هذان لساحران يريدان ان يخرجاكم من ارضكم بسحرهما ويذهبا بطريقتكم المثلي
20.0,64.0,فاجمعوا كيدكم ثم ائتوا صفا ۚ وقد افلح اليوم من استعلي
20.0,65.0,قالوا يا موسي اما ان تلقي واما ان نكون اول من القي
20.0,66.0,قال بل القوا ۖ فاذا حبالهم وعصيهم يخيل اليه من سحرهم انها تسعي
20.0,67.0,فاوجس في نفسه خيفه موسي
20.0,68.0,قلنا لا تخف انك انت الاعلي
20.0,69.0,والق ما في يمينك تلقف ما صنعوا ۖ انما صنعوا كيد ساحر ۖ ولا يفلح الساحر حيث اتي
20.0,70.0,فالقي السحره سجدا قالوا امنا برب هارون وموسي
20.0,71.0,قال امنتم له قبل ان اذن لكم ۖ انه لكبيركم الذي علمكم السحر ۖ فلاقطعن ايديكم وارجلكم من خلاف ولاصلبنكم في جذوع النخل ولتعلمن اينا اشد عذابا وابقي
20.0,72.0,قالوا لن نؤثرك علي ما جاءنا من البينات والذي فطرنا ۖ فاقض ما انت قاض ۖ انما تقضي هذه الحياه الدنيا
20.0,73.0,انا امنا بربنا ليغفر لنا خطايانا وما اكرهتنا عليه من السحر ۗ والله خير وابقي
20.0,74.0,انه من يات ربه مجرما فان له جهنم لا يموت فيها ولا يحيي
20.0,75.0,ومن ياته مؤمنا قد عمل الصالحات فاولئك لهم الدرجات العلي
20.0,76.0,جنات عدن تجري من تحتها الانهار خالدين فيها ۚ وذلك جزاء من تزكي
20.0,77.0,ولقد اوحينا الي موسي ان اسر بعبادي فاضرب لهم طريقا في البحر يبسا لا تخاف دركا ولا تخشي
20.0,78.0,فاتبعهم فرعون بجنوده فغشيهم من اليم ما غشيهم
20.0,79.0,واضل فرعون قومه وما هدي
20.0,80.0,يا بني اسرائيل قد انجيناكم من عدوكم وواعدناكم جانب الطور الايمن ونزلنا عليكم المن والسلوي
20.0,81.0,كلوا من طيبات ما رزقناكم ولا تطغوا فيه فيحل عليكم غضبي ۖ ومن يحلل عليه غضبي فقد هوي
20.0,82.0,واني لغفار لمن تاب وامن وعمل صالحا ثم اهتدي
20.0,83.0,وما اعجلك عن قومك يا موسي
20.0,84.0,قال هم اولاء علي اثري وعجلت اليك رب لترضي
20.0,85.0,قال فانا قد فتنا قومك من بعدك واضلهم السامري
20.0,86.0,فرجع موسي الي قومه غضبان اسفا ۚ قال يا قوم الم يعدكم ربكم وعدا حسنا ۚ افطال عليكم العهد ام اردتم ان يحل عليكم غضب من ربكم فاخلفتم موعدي
20.0,87.0,قالوا ما اخلفنا موعدك بملكنا ولكنا حملنا اوزارا من زينه القوم فقذفناها فكذلك القي السامري
20.0,88.0,فاخرج لهم عجلا جسدا له خوار فقالوا هذا الهكم واله موسي فنسي
20.0,89.0,افلا يرون الا يرجع اليهم قولا ولا يملك لهم ضرا ولا نفعا
20.0,90.0,ولقد قال لهم هارون من قبل يا قوم انما فتنتم به ۖ وان ربكم الرحمن فاتبعوني واطيعوا امري
20.0,91.0,قالوا لن نبرح عليه عاكفين حتي يرجع الينا موسي
20.0,92.0,قال يا هارون ما منعك اذ رايتهم ضلوا
20.0,93.0,الا تتبعن ۖ افعصيت امري
20.0,94.0,قال يا ابن ام لا تاخذ بلحيتي ولا براسي ۖ اني خشيت ان تقول فرقت بين بني اسرائيل ولم ترقب قولي
20.0,95.0,قال فما خطبك يا سامري
20.0,96.0,قال بصرت بما لم يبصروا به فقبضت قبضه من اثر الرسول فنبذتها وكذلك سولت لي نفسي
20.0,97.0,قال فاذهب فان لك في الحياه ان تقول لا مساس ۖ وان لك موعدا لن تخلفه ۖ وانظر الي الهك الذي ظلت عليه عاكفا ۖ لنحرقنه ثم لننسفنه في اليم نسفا
20.0,98.0,انما الهكم الله الذي لا اله الا هو ۚ وسع كل شيء علما
20.0,99.0,كذلك نقص عليك من انباء ما قد سبق ۚ وقد اتيناك من لدنا ذكرا
20.0,100.0,من اعرض عنه فانه يحمل يوم القيامه وزرا
20.0,101.0,خالدين فيه ۖ وساء لهم يوم القيامه حملا
20.0,102.0,يوم ينفخ في الصور ۚ ونحشر المجرمين يومئذ زرقا
20.0,103.0,يتخافتون بينهم ان لبثتم الا عشرا
20.0,104.0,نحن اعلم بما يقولون اذ يقول امثلهم طريقه ان لبثتم الا يوما
20.0,105.0,ويسالونك عن الجبال فقل ينسفها ربي نسفا
20.0,106.0,فيذرها قاعا صفصفا
20.0,107.0,لا تري فيها عوجا ولا امتا
20.0,108.0,يومئذ يتبعون الداعي لا عوج له ۖ وخشعت الاصوات للرحمن فلا تسمع الا همسا
20.0,109.0,يومئذ لا تنفع الشفاعه الا من اذن له الرحمن ورضي له قولا
20.0,110.0,يعلم ما بين ايديهم وما خلفهم ولا يحيطون به علما
20.0,111.0,وعنت الوجوه للحي القيوم ۖ وقد خاب من حمل ظلما
20.0,112.0,ومن يعمل من الصالحات وهو مؤمن فلا يخاف ظلما ولا هضما
20.0,113.0,وكذلك انزلناه قرانا عربيا وصرفنا فيه من الوعيد لعلهم يتقون او يحدث لهم ذكرا
20.0,114.0,فتعالي الله الملك الحق ۗ ولا تعجل بالقران من قبل ان يقضي اليك وحيه ۖ وقل رب زدني علما
20.0,115.0,ولقد عهدنا الي ادم من قبل فنسي ولم نجد له عزما
20.0,116.0,واذ قلنا للملائكه اسجدوا لادم فسجدوا الا ابليس ابي
20.0,117.0,فقلنا يا ادم ان هذا عدو لك ولزوجك فلا يخرجنكما من الجنه فتشقي
20.0,118.0,ان لك الا تجوع فيها ولا تعري
20.0,119.0,وانك لا تظما فيها ولا تضحي
20.0,120.0,فوسوس اليه الشيطان قال يا ادم هل ادلك علي شجره الخلد وملك لا يبلي
20.0,121.0,فاكلا منها فبدت لهما سواتهما وطفقا يخصفان عليهما من ورق الجنه ۚ وعصي ادم ربه فغوي
20.0,122.0,ثم اجتباه ربه فتاب عليه وهدي
20.0,123.0,قال اهبطا منها جميعا ۖ بعضكم لبعض عدو ۖ فاما ياتينكم مني هدي فمن اتبع هداي فلا يضل ولا يشقي
20.0,124.0,ومن اعرض عن ذكري فان له معيشه ضنكا ونحشره يوم القيامه اعمي
20.0,125.0,قال رب لم حشرتني اعمي وقد كنت بصيرا
20.0,126.0,قال كذلك اتتك اياتنا فنسيتها ۖ وكذلك اليوم تنسي
20.0,127.0,وكذلك نجزي من اسرف ولم يؤمن بايات ربه ۚ ولعذاب الاخره اشد وابقي
20.0,128.0,افلم يهد لهم كم اهلكنا قبلهم من القرون يمشون في مساكنهم ۗ ان في ذلك لايات لاولي النهي
20.0,129.0,ولولا كلمه سبقت من ربك لكان لزاما واجل مسمي
20.0,130.0,فاصبر علي ما يقولون وسبح بحمد ربك قبل طلوع الشمس وقبل غروبها ۖ ومن اناء الليل فسبح واطراف النهار لعلك ترضي
20.0,131.0,ولا تمدن عينيك الي ما متعنا به ازواجا منهم زهره الحياه الدنيا لنفتنهم فيه ۚ ورزق ربك خير وابقي
20.0,132.0,وامر اهلك بالصلاه واصطبر عليها ۖ لا نسالك رزقا ۖ نحن نرزقك ۗ والعاقبه للتقوي
20.0,133.0,وقالوا لولا ياتينا بايه من ربه ۚ اولم تاتهم بينه ما في الصحف الاولي
20.0,134.0,ولو انا اهلكناهم بعذاب من قبله لقالوا ربنا لولا ارسلت الينا رسولا فنتبع اياتك من قبل ان نذل ونخزي
20.0,135.0,قل كل متربص فتربصوا ۖ فستعلمون من اصحاب الصراط السوي ومن اهتدي
21.0,1.0,بسم الله الرحمن الرحيم اقترب للناس حسابهم وهم في غفله معرضون
21.0,2.0,ما ياتيهم من ذكر من ربهم محدث الا استمعوه وهم يلعبون
21.0,3.0,لاهيه قلوبهم ۗ واسروا النجوي الذين ظلموا هل هذا الا بشر مثلكم ۖ افتاتون السحر وانتم تبصرون
21.0,4.0,قال ربي يعلم القول في السماء والارض ۖ وهو السميع العليم
21.0,5.0,بل قالوا اضغاث احلام بل افتراه بل هو شاعر فلياتنا بايه كما ارسل الاولون
21.0,6.0,ما امنت قبلهم من قريه اهلكناها ۖ افهم يؤمنون
21.0,7.0,وما ارسلنا قبلك الا رجالا نوحي اليهم ۖ فاسالوا اهل الذكر ان كنتم لا تعلمون
21.0,8.0,وما جعلناهم جسدا لا ياكلون الطعام وما كانوا خالدين
21.0,9.0,ثم صدقناهم الوعد فانجيناهم ومن نشاء واهلكنا المسرفين
21.0,10.0,لقد انزلنا اليكم كتابا فيه ذكركم ۖ افلا تعقلون
21.0,11.0,وكم قصمنا من قريه كانت ظالمه وانشانا بعدها قوما اخرين
21.0,12.0,فلما احسوا باسنا اذا هم منها يركضون
21.0,13.0,لا تركضوا وارجعوا الي ما اترفتم فيه ومساكنكم لعلكم تسالون
21.0,14.0,قالوا يا ويلنا انا كنا ظالمين
21.0,15.0,فما زالت تلك دعواهم حتي جعلناهم حصيدا خامدين
21.0,16.0,وما خلقنا السماء والارض وما بينهما لاعبين
21.0,17.0,لو اردنا ان نتخذ لهوا لاتخذناه من لدنا ان كنا فاعلين
21.0,18.0,بل نقذف بالحق علي الباطل فيدمغه فاذا هو زاهق ۚ ولكم الويل مما تصفون
21.0,19.0,وله من في السماوات والارض ۚ ومن عنده لا يستكبرون عن عبادته ولا يستحسرون
21.0,20.0,يسبحون الليل والنهار لا يفترون
21.0,21.0,ام اتخذوا الهه من الارض هم ينشرون
21.0,22.0,لو كان فيهما الهه الا الله لفسدتا ۚ فسبحان الله رب العرش عما يصفون
21.0,23.0,لا يسال عما يفعل وهم يسالون
21.0,24.0,ام اتخذوا من دونه الهه ۖ قل هاتوا برهانكم ۖ هذا ذكر من معي وذكر من قبلي ۗ بل اكثرهم لا يعلمون الحق ۖ فهم معرضون
21.0,25.0,وما ارسلنا من قبلك من رسول الا نوحي اليه انه لا اله الا انا فاعبدون
21.0,26.0,وقالوا اتخذ الرحمن ولدا ۗ سبحانه ۚ بل عباد مكرمون
21.0,27.0,لا يسبقونه بالقول وهم بامره يعملون
21.0,28.0,يعلم ما بين ايديهم وما خلفهم ولا يشفعون الا لمن ارتضي وهم من خشيته مشفقون
21.0,29.0,ومن يقل منهم اني اله من دونه فذلك نجزيه جهنم ۚ كذلك نجزي الظالمين
21.0,30.0,اولم ير الذين كفروا ان السماوات والارض كانتا رتقا ففتقناهما ۖ وجعلنا من الماء كل شيء حي ۖ افلا يؤمنون
21.0,31.0,وجعلنا في الارض رواسي ان تميد بهم وجعلنا فيها فجاجا سبلا لعلهم يهتدون
21.0,32.0,وجعلنا السماء سقفا محفوظا ۖ وهم عن اياتها معرضون
21.0,33.0,وهو الذي خلق الليل والنهار والشمس والقمر ۖ كل في فلك يسبحون
21.0,34.0,وما جعلنا لبشر من قبلك الخلد ۖ افان مت فهم الخالدون
21.0,35.0,كل نفس ذائقه الموت ۗ ونبلوكم بالشر والخير فتنه ۖ والينا ترجعون
21.0,36.0,واذا راك الذين كفروا ان يتخذونك الا هزوا اهذا الذي يذكر الهتكم وهم بذكر الرحمن هم كافرون
21.0,37.0,خلق الانسان من عجل ۚ ساريكم اياتي فلا تستعجلون
21.0,38.0,ويقولون متي هذا الوعد ان كنتم صادقين
21.0,39.0,لو يعلم الذين كفروا حين لا يكفون عن وجوههم النار ولا عن ظهورهم ولا هم ينصرون
21.0,40.0,بل تاتيهم بغته فتبهتهم فلا يستطيعون ردها ولا هم ينظرون
21.0,41.0,ولقد استهزئ برسل من قبلك فحاق بالذين سخروا منهم ما كانوا به يستهزئون
21.0,42.0,قل من يكلؤكم بالليل والنهار من الرحمن ۗ بل هم عن ذكر ربهم معرضون
21.0,43.0,ام لهم الهه تمنعهم من دوننا ۚ لا يستطيعون نصر انفسهم ولا هم منا يصحبون
21.0,44.0,بل متعنا هؤلاء واباءهم حتي طال عليهم العمر ۗ افلا يرون انا ناتي الارض ننقصها من اطرافها ۚ افهم الغالبون
21.0,45.0,قل انما انذركم بالوحي ۚ ولا يسمع الصم الدعاء اذا ما ينذرون
21.0,46.0,ولئن مستهم نفحه من عذاب ربك ليقولن يا ويلنا انا كنا ظالمين
21.0,47.0,ونضع الموازين القسط ليوم القيامه فلا تظلم نفس شيئا ۖ وان كان مثقال حبه من خردل اتينا بها ۗ وكفي بنا حاسبين
21.0,48.0,ولقد اتينا موسي وهارون الفرقان وضياء وذكرا للمتقين
21.0,49.0,الذين يخشون ربهم بالغيب وهم من الساعه مشفقون
21.0,50.0,وهذا ذكر مبارك انزلناه ۚ افانتم له منكرون
21.0,51.0,ولقد اتينا ابراهيم رشده من قبل وكنا به عالمين
21.0,52.0,اذ قال لابيه وقومه ما هذه التماثيل التي انتم لها عاكفون
21.0,53.0,قالوا وجدنا اباءنا لها عابدين
21.0,54.0,قال لقد كنتم انتم واباؤكم في ضلال مبين
21.0,55.0,قالوا اجئتنا بالحق ام انت من اللاعبين
21.0,56.0,قال بل ربكم رب السماوات والارض الذي فطرهن وانا علي ذلكم من الشاهدين
21.0,57.0,وتالله لاكيدن اصنامكم بعد ان تولوا مدبرين
21.0,58.0,فجعلهم جذاذا الا كبيرا لهم لعلهم اليه يرجعون
21.0,59.0,قالوا من فعل هذا بالهتنا انه لمن الظالمين
21.0,60.0,قالوا سمعنا فتي يذكرهم يقال له ابراهيم
21.0,61.0,قالوا فاتوا به علي اعين الناس لعلهم يشهدون
21.0,62.0,قالوا اانت فعلت هذا بالهتنا يا ابراهيم
21.0,63.0,قال بل فعله كبيرهم هذا فاسالوهم ان كانوا ينطقون
21.0,64.0,فرجعوا الي انفسهم فقالوا انكم انتم الظالمون
21.0,65.0,ثم نكسوا علي رءوسهم لقد علمت ما هؤلاء ينطقون
21.0,66.0,قال افتعبدون من دون الله ما لا ينفعكم شيئا ولا يضركم
21.0,67.0,اف لكم ولما تعبدون من دون الله ۖ افلا تعقلون
21.0,68.0,قالوا حرقوه وانصروا الهتكم ان كنتم فاعلين
21.0,69.0,قلنا يا نار كوني بردا وسلاما علي ابراهيم
21.0,70.0,وارادوا به كيدا فجعلناهم الاخسرين
21.0,71.0,ونجيناه ولوطا الي الارض التي باركنا فيها للعالمين
21.0,72.0,ووهبنا له اسحاق ويعقوب نافله ۖ وكلا جعلنا صالحين
21.0,73.0,وجعلناهم ائمه يهدون بامرنا واوحينا اليهم فعل الخيرات واقام الصلاه وايتاء الزكاه ۖ وكانوا لنا عابدين
21.0,74.0,ولوطا اتيناه حكما وعلما ونجيناه من القريه التي كانت تعمل الخبائث ۗ انهم كانوا قوم سوء فاسقين
21.0,75.0,وادخلناه في رحمتنا ۖ انه من الصالحين
21.0,76.0,ونوحا اذ نادي من قبل فاستجبنا له فنجيناه واهله من الكرب العظيم
21.0,77.0,ونصرناه من القوم الذين كذبوا باياتنا ۚ انهم كانوا قوم سوء فاغرقناهم اجمعين
21.0,78.0,وداوود وسليمان اذ يحكمان في الحرث اذ نفشت فيه غنم القوم وكنا لحكمهم شاهدين
21.0,79.0,ففهمناها سليمان ۚ وكلا اتينا حكما وعلما ۚ وسخرنا مع داوود الجبال يسبحن والطير ۚ وكنا فاعلين
21.0,80.0,وعلمناه صنعه لبوس لكم لتحصنكم من باسكم ۖ فهل انتم شاكرون
21.0,81.0,ولسليمان الريح عاصفه تجري بامره الي الارض التي باركنا فيها ۚ وكنا بكل شيء عالمين
21.0,82.0,ومن الشياطين من يغوصون له ويعملون عملا دون ذلك ۖ وكنا لهم حافظين
21.0,83.0,وايوب اذ نادي ربه اني مسني الضر وانت ارحم الراحمين
21.0,84.0,فاستجبنا له فكشفنا ما به من ضر ۖ واتيناه اهله ومثلهم معهم رحمه من عندنا وذكري للعابدين
21.0,85.0,واسماعيل وادريس وذا الكفل ۖ كل من الصابرين
21.0,86.0,وادخلناهم في رحمتنا ۖ انهم من الصالحين
21.0,87.0,وذا النون اذ ذهب مغاضبا فظن ان لن نقدر عليه فنادي في الظلمات ان لا اله الا انت سبحانك اني كنت من الظالمين
21.0,88.0,فاستجبنا له ونجيناه من الغم ۚ وكذلك ننجي المؤمنين
21.0,89.0,وزكريا اذ نادي ربه رب لا تذرني فردا وانت خير الوارثين
21.0,90.0,فاستجبنا له ووهبنا له يحيي واصلحنا له زوجه ۚ انهم كانوا يسارعون في الخيرات ويدعوننا رغبا ورهبا ۖ وكانوا لنا خاشعين
21.0,91.0,والتي احصنت فرجها فنفخنا فيها من روحنا وجعلناها وابنها ايه للعالمين
21.0,92.0,ان هذه امتكم امه واحده وانا ربكم فاعبدون
21.0,93.0,وتقطعوا امرهم بينهم ۖ كل الينا راجعون
21.0,94.0,فمن يعمل من الصالحات وهو مؤمن فلا كفران لسعيه وانا له كاتبون
21.0,95.0,وحرام علي قريه اهلكناها انهم لا يرجعون
21.0,96.0,حتي اذا فتحت ياجوج وماجوج وهم من كل حدب ينسلون
21.0,97.0,واقترب الوعد الحق فاذا هي شاخصه ابصار الذين كفروا يا ويلنا قد كنا في غفله من هذا بل كنا ظالمين
21.0,98.0,انكم وما تعبدون من دون الله حصب جهنم انتم لها واردون
21.0,99.0,لو كان هؤلاء الهه ما وردوها ۖ وكل فيها خالدون
21.0,100.0,لهم فيها زفير وهم فيها لا يسمعون
21.0,101.0,ان الذين سبقت لهم منا الحسني اولئك عنها مبعدون
21.0,102.0,لا يسمعون حسيسها ۖ وهم في ما اشتهت انفسهم خالدون
21.0,103.0,لا يحزنهم الفزع الاكبر وتتلقاهم الملائكه هذا يومكم الذي كنتم توعدون
21.0,104.0,يوم نطوي السماء كطي السجل للكتب ۚ كما بدانا اول خلق نعيده ۚ وعدا علينا ۚ انا كنا فاعلين
21.0,105.0,ولقد كتبنا في الزبور من بعد الذكر ان الارض يرثها عبادي الصالحون
21.0,106.0,ان في هذا لبلاغا لقوم عابدين
21.0,107.0,وما ارسلناك الا رحمه للعالمين
21.0,108.0,قل انما يوحي الي انما الهكم اله واحد ۖ فهل انتم مسلمون
21.0,109.0,فان تولوا فقل اذنتكم علي سواء ۖ وان ادري اقريب ام بعيد ما توعدون
21.0,110.0,انه يعلم الجهر من القول ويعلم ما تكتمون
21.0,111.0,وان ادري لعله فتنه لكم ومتاع الي حين
21.0,112.0,قال رب احكم بالحق ۗ وربنا الرحمن المستعان علي ما تصفون
22.0,1.0,بسم الله الرحمن الرحيم يا ايها الناس اتقوا ربكم ۚ ان زلزله الساعه شيء عظيم
22.0,2.0,يوم ترونها تذهل كل مرضعه عما ارضعت وتضع كل ذات حمل حملها وتري الناس سكاري وما هم بسكاري ولكن عذاب الله شديد
22.0,3.0,ومن الناس من يجادل في الله بغير علم ويتبع كل شيطان مريد
22.0,4.0,كتب عليه انه من تولاه فانه يضله ويهديه الي عذاب السعير
22.0,5.0,يا ايها الناس ان كنتم في ريب من البعث فانا خلقناكم من تراب ثم من نطفه ثم من علقه ثم من مضغه مخلقه وغير مخلقه لنبين لكم ۚ ونقر في الارحام ما نشاء الي اجل مسمي ثم نخرجكم طفلا ثم لتبلغوا اشدكم ۖ ومنكم من يتوفي ومنكم من يرد الي ارذل العمر لكيلا يعلم من بعد علم شيئا ۚ وتري الارض هامده فاذا انزلنا عليها الماء اهتزت وربت وانبتت من كل زوج بهيج
22.0,6.0,ذلك بان الله هو الحق وانه يحيي الموتي وانه علي كل شيء قدير
22.0,7.0,وان الساعه اتيه لا ريب فيها وان الله يبعث من في القبور
22.0,8.0,ومن الناس من يجادل في الله بغير علم ولا هدي ولا كتاب منير
22.0,9.0,ثاني عطفه ليضل عن سبيل الله ۖ له في الدنيا خزي ۖ ونذيقه يوم القيامه عذاب الحريق
22.0,10.0,ذلك بما قدمت يداك وان الله ليس بظلام للعبيد
22.0,11.0,ومن الناس من يعبد الله علي حرف ۖ فان اصابه خير اطمان به ۖ وان اصابته فتنه انقلب علي وجهه خسر الدنيا والاخره ۚ ذلك هو الخسران المبين
22.0,12.0,يدعو من دون الله ما لا يضره وما لا ينفعه ۚ ذلك هو الضلال البعيد
22.0,13.0,يدعو لمن ضره اقرب من نفعه ۚ لبئس المولي ولبئس العشير
22.0,14.0,ان الله يدخل الذين امنوا وعملوا الصالحات جنات تجري من تحتها الانهار ۚ ان الله يفعل ما يريد
